BugID,Fixed,Same-Topic,Contains-S2R,Contain-Program-Element,Contain-Stack-Traces,Contains-Attachment,Contains-Fixes
536330,Yes,,Yes,No,No,Yes,Yes
529434,Yes,Yes,No,No,No,Yes,Yes
532772,No/WontFix,Yes,No,Yes,Yes,No,No
471643,Yes,Yes,No,Yes,No,Yes,Yes
531041,Yes,Yes,No,Yes,No,Yes,Yes
532835,Yes,Yes,No,No,No,Yes,Yes
513386,Yes,Yes,No,Yes,Yes,Yes,Yes
487575,Yes,Yes,No,No,No,Yes,Yes
482478,Yes,Yes,No,No,No,No,No
547543,Yes,yes,No,Yes,No,No,No
543977,Yes,Yes,No,No,No,No,No
544240,Yes,Yes,No,Yes,No,Yes,Yes
1516821,No/NEW,Yes,No,Yes,No,No,No
1555457,Duplicate,Yes,No,Yes,Yes,No,No
1518849,Yes,Yes,Yes,No,No,Yes,No
1463823,Yes,Yes,No,Yes,Yes,Yes,Yes
1557813,No/NEW,Yes,No,No,No,Yes,Yes
1548849,No/NEW,,,,,,
1463354,Yes,Yes,Yes,Yes,No,Yes,Yes
1560377,No/NEW,,,,,,
1463845,No/NEW,,,,,,
1514543,No/NEW,,,,,,
1477421,Yes,Yes,Yes,No,No,Yes,Yes
1452586,No/NEW,Yes,No,No,No,No,No
1591129,No/NEW,,,,,,
1540948,No/NEW,,,,,,
1557852,Yes,Yes,No,Yes,No,Yes,No
1485402,Yes,Yes,No,Yes,No,Yes,Yes
1452614,No/NEW,,,,,,
1461831,No/NEW,,,,,,
1542726,No/NEW,,,,,,
1477444,Yes,Yes,No,Yes,No,Yes,Yes
1463365,Yes,Yes,Yes,Yes,No,Yes,Yes
1549376,Yes,Yes,No,Yes,No,Yes,Yes
1507912,Yes,Yes,No,No,No,Yes,Yes
1540977,No/NEW,,,,,,
1453670,No/NEW,,,,,,
1540966,No/NEW,,,,,,
1534816,No/NEW,,,,,,
1491310,No/NEW,,,,,,
1481322,No/NEW,,,,,,
1523560,Yes,Yes,Yes,Yes,No,Yes,No
1447573,Yes,Yes,No,Yes,No,Yes,Yes
1455518,Yes,Yes,No,No,No,Yes,Yes
1470854,No/NEW,,,,,,
1440903,No/NEW,,,,,,
1515393,Yes,Yes,No,No,No,No,No
1547404,Yes,Yes,No,No,No,Yes,No
1497737,Yes,Yes,No,Yes,No,Yes,No
1546428,No/NEW,Yes,No,No,No,No,No
1536678,No/NEW,,,,,,
1478313,No/NEW,,,,,,
1441194,Yes,Yes,No,Yes,No,Yes,No
1491414,No/NEW,,,,,,
1557457,Yes,Yes,No,Yes,No,Yes,Yes
1542096,Yes,Yes,Yes,Yes,No,Yes,Yes
1516231,Yes,Yes,No,No,No,Yes,Yes
1539269,Yes,Yes,No,No,No,Yes,Yes
1429191,No/NEW,,,,,,
1491663,No/NEW,,,,,,
1450741,Yes,Yes,No,No,No,Yes,Yes
1450738,No/NEW,,,,,,
1507070,Yes,Yes,No,Yes,No,Yes,Yes
1545981,Yes,Yes,No,No,No,No,No
1556218,Yes,Yes,No,Yes,Yes,Yes,Yes
1519098,No/NEW,,,,,,
1458424,No/NEW,,,,,,
1567737,Yes,Yes,No,Yes,NO,Yes,Yes
1446629,No/NEW,,,,,,
1568238,Yes,Yes,No,Yes,No,Yes,Yes
1442539,Yes,Yes,Yes,Yes,No,Yes,Yes
